filename,transcript,duration_seconds,word_count,words_per_minute,pause_count,silence_ratio,filler_word_count,sentence_count,unique_word_count,vocabulary_richness,average_sentence_length,noun_count,verb_count,adjective_count,adverb_count
sample_0039.wav,It is also referred to as a spatial white modulator.,6.41,10,93.63,7,0.301,0,1,10,1.0,10.0,1,1,2,1
sample_0040.wav,This film is no longer accepted by historians.,6.66,8,72.07,10,0.411,0,1,8,1.0,8.0,2,1,0,2
sample_0041.wav,He has received many honors and awards for his scientific research.,6.24,11,105.77,11,0.291,0,1,11,1.0,11.0,3,1,2,0
sample_0042.wav,Various methods of combating this phenomenon were discussed.,5.26,8,91.32,6,0.349,0,1,8,1.0,8.0,2,2,1,0
sample_0043.wav,Google has since updated its data which it found to be incorrect.,5.69,12,126.58,6,0.311,0,1,12,1.0,12.0,2,2,1,0
sample_0044.wav,He said he would be alive if he had not done so.,4.82,12,149.25,5,0.25,0,1,10,0.833,12.0,0,2,1,1
sample_0045.wav,The monarch received thereby a fresh assession of vital energy.,5.04,10,119.05,3,0.298,0,1,10,1.0,10.0,3,1,2,1
sample_0046.wav,It is not part of the eUnit series.,3.58,8,134.23,3,0.254,0,1,8,1.0,8.0,3,0,0,0
sample_0047.wav,"The District Boarders, those of Crawley, Mid Sussex, Moll Valley, Chichester, Arun, and Adore.",9.4,14,89.4,10,0.372,0,1,14,1.0,14.0,10,0,0,0
sample_0048.wav,The album was produced by Peter Jesperson and Brian Poulson.,5.58,10,107.53,5,0.361,0,1,10,1.0,10.0,5,1,0,0
sample_0049.wav,Why did he leave it up to Davis to include it in the headnotes?,5.45,14,154.19,3,0.381,0,1,12,0.857,14.0,2,2,0,0
